,Item_Identifier,Item_Weight,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Item_Outlet_Sales,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_0,Item_Type_Combined_1,Item_Type_Combined_2
0,FDA15,9.3,0.016047301,Dairy,249.8092,OUT049,1999,3735.138,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
1,DRC01,5.92,0.019278216,Soft Drinks,48.2692,OUT018,2009,443.4228,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
2,FDN15,17.5,0.016760075,Meat,141.618,OUT049,1999,2097.27,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
3,FDX07,19.2,0.01783433788888889,Fruits and Vegetables,182.095,OUT010,1998,732.38,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
4,NCD19,8.93,0.009779828555555556,Household,53.8614,OUT013,1987,994.7052,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1
5,FDP36,10.395,0.057058688875,Baking Goods,51.4008,OUT018,2009,556.6088,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0
6,FDO10,13.65,0.012741089,Snack Foods,57.6588,OUT013,1987,343.5528,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
7,FDP10,12.792854228644284,0.127469857,Snack Foods,107.7622,OUT027,1985,4022.7636,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
8,FDH17,16.2,0.016687114,Frozen Foods,96.9726,OUT045,2002,1076.5986,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
9,FDU28,19.2,0.09444959,Frozen Foods,187.8214,OUT017,2007,4710.535,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
10,FDY07,11.8,0.040626524444444444,Fruits and Vegetables,45.5402,OUT049,1999,1516.0266,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
11,FDA03,18.5,0.045463773,Dairy,144.1102,OUT046,1997,2187.153,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
12,FDX32,15.1,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,1589.2646,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
13,FDS46,17.6,0.047257328,Snack Foods,119.6782,OUT046,1997,2145.2076,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
14,FDF32,16.35,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,1977.426,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
15,FDP49,9.0,0.069088961,Breakfast,56.3614,OUT046,1997,1547.3192,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
16,NCB42,11.8,0.008596051,Health and Hygiene,115.3492,OUT018,2009,1621.8888,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
17,FDP49,9.0,0.069196376,Breakfast,54.3614,OUT049,1999,718.3982,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0
18,DRI11,12.792854228644284,0.034237682,Hard Drinks,113.2834,OUT027,1985,2303.668,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0
19,FDU02,13.35,0.10249212,Dairy,230.5352,OUT035,2004,2748.4224,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0
20,FDN22,18.85,0.138190277,Snack Foods,250.8724,OUT013,1987,3775.086,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
21,FDW12,12.792854228644284,0.035399923,Baking Goods,144.5444,OUT027,1985,4064.0432,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
22,NCB30,14.6,0.025698134,Household,196.5084,OUT035,2004,1587.2672,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1
23,FDC37,12.792854228644284,0.057556998,Baking Goods,107.6938,OUT019,1985,214.3876,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
24,FDR28,13.85,0.025896485,Frozen Foods,165.021,OUT046,1997,4078.025,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
25,NCD06,13.0,0.099887103,Household,45.906,OUT017,2007,838.908,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
26,FDV10,7.645,0.066693437,Snack Foods,42.3112,OUT035,2004,1065.28,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0
27,DRJ59,11.65,0.019356132,Hard Drinks,39.1164,OUT013,1987,308.9312,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0
28,FDE51,5.925,0.161466534,Dairy,45.5086,OUT010,1998,178.4344,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0
29,FDC14,12.792854228644284,0.072221801,Canned,43.6454,OUT019,1985,125.8362,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
30,FDV38,19.25,0.170348551,Dairy,55.7956,OUT010,1998,163.7868,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
31,NCS17,18.6,0.080829372,Health and Hygiene,96.4436,OUT018,2009,2741.7644,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1
32,FDP33,18.7,0.0930934742,Snack Foods,256.6672,OUT018,2009,3068.0064,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
33,FDO23,17.85,0.14246229066666669,Breads,93.1436,OUT045,2002,2174.5028,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
34,DRH01,17.5,0.097904029,Soft Drinks,174.8738,OUT046,1997,2085.2856,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0
35,NCX29,10.0,0.089291137,Health and Hygiene,146.7102,OUT049,1999,3791.0652,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1
36,FDV20,12.792854228644284,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,2797.6916,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
37,DRZ11,8.85,0.113123893,Soft Drinks,122.5388,OUT018,2009,1609.9044,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0
38,FDX10,12.792854228644284,0.123111453,Snack Foods,36.9874,OUT027,1985,388.1614,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0
39,FDB34,12.792854228644284,0.026480954,Snack Foods,87.6198,OUT027,1985,2180.495,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
40,FDU02,13.35,0.102511504,Dairy,230.6352,OUT046,1997,3435.528,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
41,FDK43,9.8,0.02681843,Meat,126.002,OUT013,1987,2150.534,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
42,FDA46,13.6,0.117818348,Snack Foods,192.9136,OUT049,1999,2527.3768,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0
43,FDC02,21.35,0.069102831,Canned,259.9278,OUT018,2009,6768.5228,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
44,FDL50,12.15,0.042277867,Canned,126.5046,OUT013,1987,373.5138,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
45,FDM39,6.42,0.089498926,Dairy,178.1002,OUT010,1998,358.2004,1,0,0,1,0,0,0,1,1,0,0,0,0,1,0
46,NCP05,19.6,0.018756953777777776,Health and Hygiene,153.3024,OUT045,2002,2428.8384,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
47,FDV49,10.0,0.025879577,Canned,265.2226,OUT045,2002,5815.0972,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
48,FDL12,15.85,0.121632721,Baking Goods,60.622,OUT046,1997,2576.646,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0
49,FDS02,12.792854228644284,0.255394896,Dairy,196.8794,OUT019,1985,780.3176,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0
50,NCL17,7.39,0.067779712,Health and Hygiene,143.8812,OUT046,1997,3134.5864,1,0,0,0,1,1,0,0,0,1,0,0,0,0,1
51,FDM40,10.195,0.159803853,Frozen Foods,141.5154,OUT013,1987,850.8924,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0
52,FDR13,9.895,0.028696932,Canned,117.0492,OUT013,1987,810.9444,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0
53,FDA43,10.895,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,3121.2704,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0
54,NCP18,12.15,0.028760013,Household,151.4708,OUT017,2007,4815.0656,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
55,FDK21,7.905,0.010053105,Snack Foods,249.0408,OUT018,2009,6258.52,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
56,NCX54,9.195,0.048157338,Household,106.1622,OUT045,2002,2117.244,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1
57,DRK35,8.365,0.071958197,Hard Drinks,38.0506,OUT049,1999,796.9626,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
58,FDY21,15.1,0.173481304,Snack Foods,194.511,OUT046,1997,4910.275,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0
59,FDI26,12.792854228644284,0.061082177,Canned,180.0344,OUT019,1985,892.172,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0
60,FDM20,10.0,0.0364918673,Fruits and Vegetables,246.9144,OUT018,2009,3185.1872,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0
61,FDV27,7.97,0.040071131,Meat,87.3514,OUT045,2002,1062.6168,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0
62,FDF09,12.792854228644284,0.012090074,Fruits and Vegetables,38.2848,OUT027,1985,484.7024,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0
