Item_Identifier,Outlet_Identifier,results
FDW58,OUT049,1844.852884858096
FDW14,OUT017,1542.0688754895527
NCN55,OUT010,1825.2192077049428
FDQ58,OUT017,2605.708753488108
FDY38,OUT027,5066.499634594022
FDH56,OUT046,2056.1252642253353
FDL48,OUT018,480.18224867857316
FDC48,OUT027,2779.603303593661
FDN33,OUT045,1650.0555904895264
FDA36,OUT017,3081.9276329881
FDT44,OUT017,2056.272678603368
FDQ56,OUT045,1474.6079886299376
NCC54,OUT019,1779.8849309168052
FDU11,OUT049,2058.7727087896474
DRL59,OUT013,802.6929119529016
FDM24,OUT049,2546.559721400435
FDI57,OUT045,3386.9007433736083
DRC12,OUT018,2769.8152932189914
NCM42,OUT027,3230.897344744867
FDA46,OUT010,1186.529439423442
FDA31,OUT013,2839.9708822524585
NCJ31,OUT035,3723.8886880613295
FDG52,OUT046,709.3929085179582
NCL19,OUT019,429.3083752912672
FDS10,OUT035,2975.9793400267104
FDX22,OUT010,1472.0672052847783
NCF19,OUT035,725.4150307983327
NCE06,OUT046,2619.3549068378984
DRC27,OUT046,3787.479037565108
FDE21,OUT035,2055.675420458215
NCR42,OUT019,-1611.0126558552129
FDX51,OUT018,2866.952030755089
NCR06,OUT018,268.20129549119883
FDU31,OUT027,4925.708517233279
FDU59,OUT017,2732.07690528153
FDR03,OUT027,4734.55256211531
FDS49,OUT027,2764.913469994573
FDD48,OUT010,38.19861662873541
NCF18,OUT017,3093.565786868173
NCD43,OUT027,3134.601395902308
NCD54,OUT018,2053.6849490691866
FDY19,OUT010,108.95551130830353
NCY54,OUT017,2817.2287217259627
NCL19,OUT018,2084.7180040510293
FDP23,OUT010,1549.2886404103463
FDC26,OUT013,1877.2339563995451
FDR14,OUT010,-1061.2793292066017
NCS41,OUT035,3004.2521515889093
FDF41,OUT035,3851.7953101384805
FDU34,OUT046,2097.2043457004474
DRH11,OUT046,913.8787633342349
FDM03,OUT013,1761.1466598325883
FDS31,OUT017,3054.7880390576133
FDJ20,OUT017,2163.7118408686447
FDV44,OUT027,4522.080585034204
FDG02,OUT049,3094.8267783978645
FDA09,OUT013,2923.4690877567714
FDT04,OUT013,457.352878732539
FDL58,OUT019,2110.9147582149612
FDE52,OUT045,1579.5031625727065
FDW12,OUT035,2500.2344623980603
FDL51,OUT017,3475.4644987646084
NCY42,OUT027,3739.4171223234457
FDR07,OUT017,1707.1294658171296
FDN40,OUT045,2527.055601852665
FDB35,OUT027,3012.56410685466
