Item_Identifier,Outlet_Identifier,results
FDW58,OUT049,1674.8725016218166
FDW14,OUT017,1443.0878527132115
NCN55,OUT010,776.9909325116705
FDQ58,OUT017,1996.5782688637782
FDY38,OUT027,6456.0549694641595
FDH56,OUT046,1971.440030917734
FDL48,OUT018,741.8926079060809
FDC48,OUT027,1921.9012394890483
FDN33,OUT045,1293.4774950195144
FDA36,OUT017,2794.6193515767536
FDT44,OUT017,1658.5348200541619
FDQ56,OUT045,1649.9142399581042
NCC54,OUT019,749.012377244367
FDU11,OUT049,1788.8170021463145
DRL59,OUT013,790.7729132638465
FDM24,OUT049,2288.67496466087
FDI57,OUT045,3780.5146352397933
DRC12,OUT018,3675.050345300289
NCM42,OUT027,2572.6222727557197
FDA46,OUT010,490.76511288360314
FDA31,OUT013,2531.80438879926
NCJ31,OUT035,3488.8661796431884
FDG52,OUT046,761.3312841248014
NCL19,OUT019,377.64448875513017
FDS10,OUT035,2925.5327190959592
FDX22,OUT010,431.1229696839877
NCF19,OUT035,734.0723157771041
NCE06,OUT046,2478.819784248628
DRC27,OUT046,3915.451228992138
FDE21,OUT035,2047.498744499912
NCR42,OUT019,58.05820298549384
FDX51,OUT018,2513.8334206433383
NCR06,OUT018,259.947466174321
FDU31,OUT027,5726.2825805312705
FDU59,OUT017,2238.546163107403
FDR03,OUT027,5597.464396993638
FDS49,OUT027,2837.126053701658
FDD48,OUT010,246.32517593201044
NCF18,OUT017,3051.4498351753728
NCD43,OUT027,2523.838005915455
NCD54,OUT018,2019.2430611369614
FDY19,OUT010,219.84296930693924
NCY54,OUT017,2454.6598706949053
NCL19,OUT018,2013.8196535943189
FDP23,OUT010,432.679707478877
FDC26,OUT013,1891.0873882467283
FDR14,OUT010,125.39188700929462
NCS41,OUT035,3087.27721537167
FDF41,OUT035,4044.918605582519
FDU34,OUT046,2162.4874160633767
DRH11,OUT046,738.8710319224873
FDM03,OUT013,2052.038622911639
FDS31,OUT017,3073.139294536382
FDJ20,OUT017,1891.1487195397567
FDV44,OUT027,4808.994809406194
FDG02,OUT049,2980.0094296460256
FDA09,OUT013,3486.598469784511
FDT04,OUT013,486.2070687704555
FDL58,OUT019,580.954770097469
FDE52,OUT045,1331.4702088697024
FDW12,OUT035,2763.1433858457
FDL51,OUT017,3783.066361533163
NCY42,OUT027,2758.935917707685
FDR07,OUT017,1640.9389483285543
FDN40,OUT045,2348.2270109802294
FDB35,OUT027,2523.967140271289
FDA22,OUT017,2760.4649358048364
NCL06,OUT046,3984.3929741957545
FDI35,OUT013,3512.9915389094076
NCW42,OUT045,3897.186688781814
NCX06,OUT049,3052.7970201633675
FDC37,OUT027,2441.305973747385
FDZ14,OUT018,1660.6571998136287
