Item_Identifier,Outlet_Identifier,results
FDW58,OUT049,1843.325329190884
FDW14,OUT017,1536.1415359810833
NCN55,OUT010,1793.7580571337828
FDQ58,OUT017,2597.6918939259795
FDY38,OUT027,5085.486232520352
FDH56,OUT046,2064.925745040743
FDL48,OUT018,486.43847242265883
FDC48,OUT027,2788.87100125344
FDN33,OUT045,1651.9068299674177
FDA36,OUT017,3071.414206918672
FDT44,OUT017,2054.528612265605
FDQ56,OUT045,1475.6909248811137
NCC54,OUT019,1765.7820836529509
FDU11,OUT049,2064.256665849821
DRL59,OUT013,799.0575627274534
FDM24,OUT049,2549.827513614322
FDI57,OUT045,3398.120582797303
DRC12,OUT018,2775.869328042141
NCM42,OUT027,3244.156929176708
FDA46,OUT010,1155.6345574019133
FDA31,OUT013,2842.5869618776237
NCJ31,OUT035,3732.7750958308625
FDG52,OUT046,717.6407215817828
NCL19,OUT019,407.8853970543331
FDS10,OUT035,2976.064786123311
FDX22,OUT010,1434.7918110779713
NCF19,OUT035,725.4379020175211
NCE06,OUT046,2630.650085650571
DRC27,OUT046,3796.575088215338
FDE21,OUT035,2054.23005917979
NCR42,OUT019,-1631.1250039385702
FDX51,OUT018,2872.32278613594
NCR06,OUT018,270.38688039512544
FDU31,OUT027,4938.711062636711
FDU59,OUT017,2730.4728738048616
FDR03,OUT027,4746.804361573042
FDS49,OUT027,2780.6795569974047
FDD48,OUT010,-0.3775416561487077
NCF18,OUT017,3092.5403873889163
NCD43,OUT027,3146.583526209378
NCD54,OUT018,2059.187064595297
FDY19,OUT010,73.4431659937805
NCY54,OUT017,2818.8410319201366
NCL19,OUT018,2089.6538153607025
FDP23,OUT010,1513.9062842663645
FDC26,OUT013,1879.863463151229
FDR14,OUT010,-1092.034155339873
NCS41,OUT035,3007.234688051113
FDF41,OUT035,3857.6690817789695
FDU34,OUT046,2106.5477082211887
DRH11,OUT046,923.1534962127437
FDM03,OUT013,1764.9033488467758
FDS31,OUT017,3050.0816886775638
FDJ20,OUT017,2162.077131690592
FDV44,OUT027,4536.246947326454
FDG02,OUT049,3094.0805740544783
FDA09,OUT013,2923.1787860784943
FDT04,OUT013,458.93801206021976
FDL58,OUT019,2094.4947381545594
FDE52,OUT045,1575.9602371439819
FDW12,OUT035,2498.6325086941206
FDL51,OUT017,3471.293174138751
NCY42,OUT027,3751.5373201233265
FDR07,OUT017,1704.033945460078
FDN40,OUT045,2527.740844266642
FDB35,OUT027,3028.6347416955555
FDA22,OUT017,2793.241433771429
NCL06,OUT046,4005.446243972634
FDI35,OUT013,2968.8954603762513
NCW42,OUT045,3484.727275988761
NCX06,OUT049,2918.3997128951996
FDC37,OUT027,3255.0717177200013
FDZ14,OUT018,1774.4485603913886
DRG49,OUT049,3784.9682510828534
NCG06,OUT045,3941.7836912805938
DRC36,OUT045,2882.753291446797
FDV21,OUT019,112.89976509754587
FDB53,OUT046,2462.0396321994517
DRP47,OUT019,1931.964819727262
FDA14,OUT013,2371.842433229638
DRC24,OUT035,2568.2548530028366
FDW21,OUT018,1437.081847485043
NCH29,OUT046,1662.799383055627
FDU58,OUT013,3054.0964630701274
FDY27,OUT017,2913.051108274385
FDV56,OUT035,1977.0698244573193
FDT59,OUT046,3656.89850486687
FDB23,OUT046,3675.7704732684706
FDR49,OUT045,704.427734135573
FDB03,OUT010,1838.0317245147328
FDN39,OUT045,2785.2941649011204
FDX02,OUT027,4913.317649853761
FDQ16,OUT027,3238.594642250705
FDU35,OUT018,1374.7281592208244
NCT29,OUT013,2022.0633117209063
FDZ27,OUT046,731.6256211937889
FDN57,OUT017,2369.544145637248
FDA03,OUT018,2141.8744378273877
FDZ36,OUT045,3058.903298909272
NCU05,OUT013,1328.5568002271152
FDT39,OUT018,2247.74102580306
FDK60,OUT017,1714.8104706484846
FDZ25,OUT017,2884.030148090371
FDG12,OUT046,2132.7155150800545
DRB01,OUT019,1099.139278302594
NCC43,OUT027,5240.998044663927
FDX13,OUT019,1909.9638117580826
FDM22,OUT049,862.5167457379735
FDJ03,OUT027,2168.4048029904725
FDU14,OUT018,3535.235105094669
FDB33,OUT010,739.6645315548377
FDP27,OUT046,3075.2486519844956
FDO38,OUT010,-631.7237512074114
FDE28,OUT027,5060.727358672543
FDO27,OUT035,1673.3914394151643
DRL23,OUT027,3256.4382401713824
FDS28,OUT046,922.4476293005873
FDX24,OUT013,1551.9817524462035
FDZ02,OUT035,1701.3096146862256
FDL46,OUT045,1987.2135212227436
FDS60,OUT027,4333.5614592318525
NCO06,OUT017,373.8606562919199
FDO16,OUT035,1470.4065658285717
FDC60,OUT049,1504.2645408485432
FDA48,OUT018,3150.5130673251424
FDZ36,OUT027,4466.447645039131
FDK27,OUT045,2071.121291824129
FDW23,OUT018,190.57357415025353
FDM14,OUT018,1594.0452340695597
FDM14,OUT013,1847.2241347093832
FDW60,OUT018,2632.9241002893987
FDE21,OUT013,1983.0005157116773
NCM42,OUT035,1867.6102459914946
FDY59,OUT010,-339.5449872840926
DRI49,OUT049,1336.4377054023992
FDT28,OUT019,536.7351984811037
FDQ22,OUT018,218.55947041024024
FDR60,OUT049,1271.2323814903355
FDC50,OUT019,-343.5280360866959
FDV24,OUT013,2472.90784037075
DRF48,OUT010,1093.5146799654153
FDQ47,OUT046,510.39294928288587
DRN36,OUT049,1641.7082495971538
NCY06,OUT035,2171.6356418389732
FDE52,OUT035,1588.284543371355
NCB54,OUT045,2146.494187436707
NCF31,OUT035,2537.615482243599
FDJ08,OUT027,4494.539315203955
NCC07,OUT017,1814.4877752889706
NCD19,OUT027,2232.8617532686894
FDL46,OUT049,2005.9710566675726
FDM20,OUT045,3869.498213599685
NCI06,OUT010,964.9014935588289
DRM11,OUT035,4027.7696806745334
NCH07,OUT018,2262.4376229132645
FDS23,OUT013,2137.170465437028
FDO49,OUT018,484.7217946615003
FDS35,OUT049,1069.7672889479495
DRK39,OUT045,1389.9008013076036
DRI39,OUT049,909.1332429729389
FDV04,OUT017,2654.0606094558348
NCN14,OUT035,2971.9173375006176
FDH08,OUT013,3633.903076451992
FDS20,OUT046,3015.3870369690294
FDV40,OUT049,1273.68800565063
FDZ48,OUT010,-69.29545312903394
FDS24,OUT027,2935.97294543611
FDK44,OUT049,2870.575138164785
FDS48,OUT045,2517.3960056340907
FDK26,OUT010,1156.263818967979
FDD23,OUT045,3154.2711073309574
NCH54,OUT017,2657.5004405574036
NCP14,OUT010,-178.8827900884978
FDM60,OUT010,-1367.244299858005
FDV24,OUT017,2526.7878229500734
FDH08,OUT018,3319.184944562094
FDS12,OUT027,3537.759390924381
FDR39,OUT027,4344.03843390439
FDP12,OUT027,1916.9166577042627
DRF60,OUT027,5085.8694399529495
FDC09,OUT035,1867.2452003915907
FDF50,OUT018,2878.585074631941
FDG28,OUT035,3859.8319995577313
NCE19,OUT017,863.5344684162915
NCM53,OUT010,-107.39805902869062
NCN18,OUT049,1850.1002982039972
FDF32,OUT035,3263.8048406128505
FDF11,OUT013,3801.820862801629
DRI59,OUT049,3561.2667368250186
NCG54,OUT035,2779.688077942406
FDM44,OUT046,1775.80347569582
FDT57,OUT018,3376.8264515025658
FDV24,OUT046,2509.241496544777
FDI50,OUT019,1689.97849668982
FDS09,OUT035,846.2206496161398
NCC31,OUT027,3949.8781068991543
FDQ07,OUT019,1565.4986520416142
FDC22,OUT017,3135.0034022542754
FDZ56,OUT046,2834.857486290615
FDZ40,OUT019,-1125.389116997715
FDS46,OUT027,3446.686695420259
DRD24,OUT045,2358.711484746543
