Item_Identifier,Outlet_Identifier,results
FDW58,OUT049,1843.3512042530222
FDW14,OUT017,1536.241445933399
NCN55,OUT010,1794.2848745957215
FDQ58,OUT017,2597.827510996495
FDY38,OUT027,5085.169716675979
FDH56,OUT046,2064.77734641635
FDL48,OUT018,486.33552971330755
FDC48,OUT027,2788.721002335655
FDN33,OUT045,1651.875698550416
FDA36,OUT017,3071.5956254423804
FDT44,OUT017,2054.559346031595
FDQ56,OUT045,1475.6731921331468
NCC54,OUT019,1766.01712291929
FDU11,OUT049,2064.165093302894
DRL59,OUT013,799.1164708082513
FDM24,OUT049,2549.776688364753
FDI57,OUT045,3397.92368998293
DRC12,OUT018,2775.7663898998694
NCM42,OUT027,3243.9361725951153
FDA46,OUT010,1156.1524891663869
FDA31,OUT013,2842.5421129017745
NCJ31,OUT035,3732.625922140482
FDG52,OUT046,717.5014675937789
NCL19,OUT019,408.2420315588944
FDS10,OUT035,2976.063531538887
FDX22,OUT010,1435.4161946733088
NCF19,OUT035,725.4370167221371
NCE06,OUT046,2630.4601047203773
DRC27,OUT046,3796.422272035928
FDE21,OUT035,2054.2543653374223
NCR42,OUT019,-1630.7901923209874
FDX51,OUT018,2872.2308809925607
NCR06,OUT018,270.3483670666076
FDU31,OUT027,4938.494966741413
FDU59,OUT017,2730.5011529697877
FDR03,OUT027,4746.600250354009
FDS49,OUT027,2780.417085546695
FDD48,OUT010,0.27259449247009115
NCF18,OUT017,3092.5590525660714
NCD43,OUT027,3146.3841591230453
NCD54,OUT018,2059.0935078076363
FDY19,OUT010,74.03837894383241
NCY54,OUT017,2818.815399256427
NCL19,OUT018,2089.5690587547983
FDP23,OUT010,1514.4993830550038
FDC26,OUT013,1879.8182246656852
FDR14,OUT010,-1091.5192179005317
NCS41,OUT035,3007.1847613775244
FDF41,OUT035,3857.571078647928
FDU34,OUT046,2106.39047745063
DRH11,OUT046,922.9967396898403
FDM03,OUT013,1764.8386168925977
FDS31,OUT017,3050.161849402363
FDJ20,OUT017,2162.105704225338
FDV44,OUT027,4536.011252848795
FDG02,OUT049,3094.0938055798665
FDA09,OUT013,2923.1820913800016
FDT04,OUT013,458.9097351601856
FDL58,OUT019,2094.7683692534083
FDE52,OUT045,1576.0193340011501
FDW12,OUT035,2498.662835710935
FDL51,OUT017,3471.3642333724697
NCY42,OUT027,3751.3357626162947
FDR07,OUT017,1704.0872504518434
FDN40,OUT045,2527.7298157627706
FDB35,OUT027,3028.366596149431
FDA22,OUT017,2793.2714715793345
NCL06,OUT046,4005.2620687920266
FDI35,OUT013,2968.9041667612823
NCW42,OUT045,3484.7205076373943
NCX06,OUT049,2918.385421971176
FDC37,OUT027,3254.888443959776
FDZ14,OUT018,1774.3441892823064
DRG49,OUT049,3784.8849146611105
NCG06,OUT045,3941.8135921187763
DRC36,OUT045,2882.7745404540574
FDV21,OUT019,113.14615551831855
FDB53,OUT046,2461.8332723113213
DRP47,OUT019,1932.1946899281886
FDA14,OUT013,2371.836997466412
DRC24,OUT035,2568.265118495302
FDW21,OUT018,1437.0522532874415
NCH29,OUT046,1662.6725667947062
FDU58,OUT013,3054.1351707337226
FDY27,OUT017,2913.1538959086743
FDV56,OUT035,1977.1082939381963
FDT59,OUT046,3656.8052099272295
FDB23,OUT046,3675.686624942562
FDR49,OUT045,704.3986729619792
FDB03,OUT010,1838.525513018176
FDN39,OUT045,2785.291697458632
FDX02,OUT027,4913.0579393352145
FDQ16,OUT027,3238.3657860909298
FDU35,OUT018,1374.5907648914426
NCT29,OUT013,2022.039689384084
FDZ27,OUT046,731.5562827828255
FDN57,OUT017,2369.620052949243
FDA03,OUT018,2141.768301909174
FDZ36,OUT045,3058.9374868707105
NCU05,OUT013,1328.5443314492272
FDT39,OUT018,2247.6771676869994
FDK60,OUT017,1714.87911877295
FDZ25,OUT017,2884.1392042916755
FDG12,OUT046,2132.6866926618104
DRB01,OUT019,1099.4087192086017
NCC43,OUT027,5240.688185306444
FDX13,OUT019,1910.2763007765823
FDM22,OUT049,862.489387261581
FDJ03,OUT027,2168.1460624795
FDU14,OUT018,3535.111331800183
FDB33,OUT010,740.3149301567828
FDP27,OUT046,3075.032070599966
FDO38,OUT010,-631.1611331419185
FDE28,OUT027,5060.404016735318
FDO27,OUT035,1673.2696075649837
DRL23,OUT027,3256.244680302796
FDS28,OUT046,922.2887317926918
FDX24,OUT013,1552.0897633789123
FDZ02,OUT035,1701.3103057367427
FDL46,OUT045,1987.2393686335947
FDS60,OUT027,4333.3702781153515
NCO06,OUT017,373.88441059899037
FDO16,OUT035,1470.4500427819357
FDC60,OUT049,1504.1943953826412
FDA48,OUT018,3150.3703556842825
FDZ36,OUT027,4466.22559070004
FDK27,OUT045,2071.199301290416
FDW23,OUT018,190.47833612325758
FDM14,OUT018,1594.002461716386
FDM14,OUT013,1847.3021983399885
FDW60,OUT018,2632.8936517262496
FDE21,OUT013,1983.056798280185
NCM42,OUT035,1867.613150323988
FDY59,OUT010,-338.89455975426324
DRI49,OUT049,1336.300648031723
FDT28,OUT019,537.0313418036004
FDQ22,OUT018,218.49554184438193
FDR60,OUT049,1271.1555838390814
FDC50,OUT019,-343.26894148762324
FDV24,OUT013,2472.9020772028557
DRF48,OUT010,1094.1159659646119
FDQ47,OUT046,510.1829045625218
DRN36,OUT049,1641.6588915304046
NCY06,OUT035,2171.5900253179757
FDE52,OUT035,1588.297850409954
NCB54,OUT045,2146.5011342928146
NCF31,OUT035,2537.5793995644217
FDJ08,OUT027,4494.236189282445
NCC07,OUT017,1814.5943748320722
NCD19,OUT027,2232.6742998735153
FDL46,OUT049,2005.921828224852
FDM20,OUT045,3869.530850299788
NCI06,OUT010,965.4661949460796
DRM11,OUT035,4027.7139936286612
NCH07,OUT018,2262.270352745589
FDS23,OUT013,2137.109145475331
FDO49,OUT018,484.63034992285816
FDS35,OUT049,1069.668278101024
DRK39,OUT045,1389.936267663233
DRI39,OUT049,909.0486875577612
FDV04,OUT017,2654.058537662421
NCN14,OUT035,2971.820970545417
FDH08,OUT013,3633.958338490744
FDS20,OUT046,3015.246296311903
FDV40,OUT049,1273.7019129362532
FDZ48,OUT010,-68.71189021929877
FDS24,OUT027,2935.7499193666613
FDK44,OUT049,2870.459641421077
FDS48,OUT045,2517.4487632577984
FDK26,OUT010,1156.871676034137
FDD23,OUT045,3154.280748598924
NCH54,OUT017,2657.537845314865
NCP14,OUT010,-178.36754184648407
FDM60,OUT010,-1366.6196351084202
FDV24,OUT017,2526.848520028812
FDH08,OUT018,3319.1197815953747
FDS12,OUT027,3537.4641198311324
FDR39,OUT027,4343.737016004938
FDP12,OUT027,1916.7234538063665
DRF60,OUT027,5085.609575447474
FDC09,OUT035,1867.2618989605512
FDF50,OUT018,2878.416313070501
FDG28,OUT035,3859.801249644865
NCE19,OUT017,863.5675213223069
NCM53,OUT010,-106.84104528782507
NCN18,OUT049,1850.0372123656139
FDF32,OUT035,3263.758881816098
FDF11,OUT013,3801.859390418698
DRI59,OUT049,3561.215204172455
NCG54,OUT035,2779.6197028773527
FDM44,OUT046,1775.702565233486
FDT57,OUT018,3376.758254593618
FDV24,OUT046,2509.090040092728
FDI50,OUT019,1690.3203804341197
FDS09,OUT035,846.1797386341657
NCC31,OUT027,3949.666149103944
FDQ07,OUT019,1565.762711334843
FDC22,OUT017,3135.0069566376137
FDZ56,OUT046,2834.7569285920713
FDZ40,OUT019,-1125.0465265377045
FDS46,OUT027,3446.4488586217362
DRD24,OUT045,2358.759864050804
FDV45,OUT017,3081.374055570133
FDL26,OUT045,2618.2358957846513
FDA56,OUT018,1808.577990508138
FDN27,OUT046,2021.6814123615475
FDM20,OUT049,3840.480298459241
FDO16,OUT017,1430.0367873689438
FDL03,OUT035,3238.9741752811447
FDE58,OUT046,1986.436508663289
FDI02,OUT027,3367.277429757129
NCC55,OUT019,-1479.8579643549429
FDR03,OUT018,3030.483978958747
FDB14,OUT017,1661.0886177971531
FDR45,OUT013,3715.6013152620476
NCN07,OUT017,2201.644918032834
FDM51,OUT019,-174.41096351458714
FDT52,OUT027,5244.9044436539025
FDL26,OUT046,2594.410974225263
NCZ42,OUT046,3722.951708397964
DRI47,OUT019,490.9553146875703
FDW40,OUT013,2350.2562031158604
FDN34,OUT046,2820.2803162563123
FDS01,OUT035,2983.0934264579932
NCG55,OUT045,1958.7493591189802
FDC11,OUT035,1553.8234317726717
