Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1648.9852888556363
FDW14,OUT017,1372.4990133320755
NCN55,OUT010,592.4472904981678
FDQ58,OUT017,2485.377342532661
FDY38,OUT027,6204.327281443833
FDH56,OUT046,1939.2589229511357
FDL48,OUT018,769.2674881392455
FDC48,OUT027,2142.881006374687
FDN33,OUT045,1533.694992744989
FDA36,OUT017,3087.1671572470927
FDT44,OUT017,1954.0537943385882
FDQ56,OUT045,1366.9604456611262
NCC54,OUT019,586.4249385049375
FDU11,OUT049,2023.8481719598467
DRL59,OUT013,795.0642101585793
FDM24,OUT049,2454.7382393044563
FDI57,OUT045,3004.7079567150927
DRC12,OUT018,2944.234389396391
NCM42,OUT027,2948.270178991491
FDA46,OUT010,484.38462460087794
FDA31,OUT013,2838.1180772972057
NCJ31,OUT035,3833.944771227998
FDG52,OUT046,762.5675845216614
NCL19,OUT019,304.625762792649
FDS10,OUT035,3016.3048405261693
FDX22,OUT010,563.5842032690118
NCF19,OUT035,762.5675845216614
NCE06,OUT046,2535.1079713082036
DRC27,OUT046,3931.9265209020314
FDE21,OUT035,1965.0719598665992
NCR42,OUT019,91.45585977737936
FDX51,OUT018,2969.6474642638636
NCR06,OUT018,607.4386629178445
FDU31,OUT027,5550.631747912866
FDU59,OUT017,2558.2372086530704
FDR03,OUT027,5545.425931690644
FDS49,OUT027,2141.1736798340526
FDD48,OUT010,260.1481380269922
NCF18,OUT017,3057.145021282218
NCD43,OUT027,2578.1931629568203
NCD54,OUT018,2061.3731923840883
FDY19,OUT010,262.0202769874263
NCY54,OUT017,2844.826999897
NCL19,OUT018,2392.4676238393686
FDP23,OUT010,561.1989128382527
FDC26,OUT013,1732.2540417631512
FDR14,OUT010,162.38623539965332
NCS41,OUT035,3124.8072477580777
FDF41,OUT035,3890.1405889443163
FDU34,OUT046,2032.9700379008211
DRH11,OUT046,854.1888908653061
FDM03,OUT013,1656.446608747654
FDS31,OUT017,3076.816503348172
FDJ20,OUT017,2018.3046181341485
FDV44,OUT027,5142.3519477297095
FDG02,OUT049,3103.9613902456304
FDA09,OUT013,2990.562074242501
FDT04,OUT013,601.6858623031426
FDL58,OUT019,586.6746657089332
FDE52,OUT045,1403.4266145923432
FDW12,OUT035,2486.4889772198594
FDL51,OUT017,3723.5991286796816
NCY42,OUT027,3364.1534556597
FDR07,OUT017,1542.701892260646
FDN40,OUT045,2472.465007523732
FDB35,OUT027,2554.6687577833336
FDA22,OUT017,2571.1984313220496
NCL06,OUT046,4143.568358345844
FDI35,OUT013,3060.694248295387
NCW42,OUT045,3709.413029879611
NCX06,OUT049,3024.644125168
FDC37,OUT027,2604.8119813712415
FDZ14,OUT018,1915.4818594453889
DRG49,OUT049,3939.436309714677
NCG06,OUT045,4065.9521165692136
DRC36,OUT045,2855.3199270736072
FDV21,OUT019,297.1521839354893
FDB53,OUT046,2483.4372162219574
DRP47,OUT019,586.4249385049375
FDA14,OUT013,2453.631800810492
DRC24,OUT035,2529.7163056570867
FDW21,OUT018,1578.840813261935
NCH29,OUT046,1551.2162698680124
FDU58,OUT013,3089.1401826440083
FDY27,OUT017,2882.64220238618
FDV56,OUT035,1659.1052546976032
FDT59,OUT046,3859.728805883653
FDB23,OUT046,3800.2654176511437
FDR49,OUT045,762.5901153369073
FDB03,OUT010,599.8202581730134
FDN39,OUT045,2653.4353635653365
FDX02,OUT027,5700.492152821114
FDQ16,OUT027,2616.8443051187364
FDU35,OUT018,1527.731097408686
NCT29,OUT013,2013.4095312943305
FDZ27,OUT046,762.5675845216614
FDN57,OUT017,2058.9631943506274
FDA03,OUT018,2385.4226270214394
FDZ36,OUT045,3075.778134405183
NCU05,OUT013,1314.2359743128504
FDT39,OUT018,2366.233137733744
FDK60,OUT017,1545.1578059834535
FDZ25,OUT017,2822.8380801513126
FDG12,OUT046,2076.6725169305687
DRB01,OUT019,488.8776329329511
NCC43,OUT027,6206.379190108932
FDX13,OUT019,576.2657584357852
FDM22,OUT049,815.8250828171972
FDJ03,OUT027,1247.910011828658
FDU14,OUT018,3690.2311045935635
FDB33,OUT010,380.92019928268013
FDP27,OUT046,3105.10095495829
FDO38,OUT010,177.15764486436055
FDE28,OUT027,6204.327281443833
FDO27,OUT035,1533.6121538743548
DRL23,OUT027,2585.458267018424
FDS28,OUT046,854.1888908653061
FDX24,OUT013,1461.1060963043728
FDZ02,OUT035,1549.5452271817526
FDL46,OUT045,1920.9058736545162
FDS60,OUT027,4874.659870776727
NCO06,OUT017,600.5504411383947
FDO16,OUT035,1364.2810130651621
FDC60,OUT049,1376.4637347861853
FDA48,OUT018,3256.2353090742313
FDZ36,OUT027,5144.695446575257
FDK27,OUT045,2056.1882244030403
FDW23,OUT018,598.8005795619313
FDM14,OUT018,1651.385088178578
FDM14,OUT013,1656.446608747654
FDW60,OUT018,2820.2579421327905
FDE21,OUT013,1962.8227178485458
NCM42,OUT035,1662.823861888483
FDY59,OUT010,214.60351070863038
DRI49,OUT049,1312.834017574493
