Item_Identifier,Outlet_Identifier,results
FDW58,OUT049,1560.4315
FDW14,OUT017,1759.9407
NCN55,OUT010,873.8269
FDQ58,OUT017,2165.4927
FDY38,OUT027,6859.8184
FDH56,OUT046,1907.038
FDL48,OUT018,896.0316
FDC48,OUT027,1836.9662
FDN33,OUT045,1227.0981
FDA36,OUT017,2695.4592
FDT44,OUT017,1269.1191
FDQ56,OUT045,1715.0646
NCC54,OUT019,680.411
FDU11,OUT049,1614.861
DRL59,OUT013,902.5256
FDM24,OUT049,2338.981
FDI57,OUT045,3937.7637
DRC12,OUT018,3941.9482
NCM42,OUT027,1933.0001
FDA46,OUT010,630.67114
FDA31,OUT013,2670.3413
NCJ31,OUT035,2598.192
FDG52,OUT046,813.4337
NCL19,OUT019,534.802
FDS10,OUT035,3032.6594
FDX22,OUT010,299.27835
NCF19,OUT035,823.5328
NCE06,OUT046,2285.1218
DRC27,OUT046,4300.8633
FDE21,OUT035,2174.769
NCR42,OUT019,79.56832
FDX51,OUT018,2067.9172
NCR06,OUT018,269.414
FDU31,OUT027,3667.578
FDU59,OUT017,2087.5269
FDR03,OUT027,4411.9243
FDS49,OUT027,3403.9402
FDD48,OUT010,221.79262
NCF18,OUT017,3321.4062
NCD43,OUT027,2293.8738
NCD54,OUT018,1696.2172
FDY19,OUT010,206.35077
NCY54,OUT017,1993.8525
NCL19,OUT018,2165.401
FDP23,OUT010,358.6003
FDC26,OUT013,2072.6157
FDR14,OUT010,90.519875
NCS41,OUT035,2661.7986
FDF41,OUT035,5328.593
FDU34,OUT046,2210.936
DRH11,OUT046,679.02954
FDM03,OUT013,2589.3813
FDS31,OUT017,2574.686
FDJ20,OUT017,1595.2333
FDV44,OUT027,5191.5845
FDG02,OUT049,3207.402
FDA09,OUT013,5059.767
FDT04,OUT013,429.3719
FDL58,OUT019,736.06396
FDE52,OUT045,1234.0249
FDW12,OUT035,2734.1003
FDL51,OUT017,3493.3276
NCY42,OUT027,2246.4888
FDR07,OUT017,1511.3094
FDN40,OUT045,2440.601
FDB35,OUT027,2131.4146
FDA22,OUT017,3131.29
NCL06,OUT046,3707.2512
FDI35,OUT013,2930.5342
NCW42,OUT045,4217.7344
NCX06,OUT049,2733.6958
FDC37,OUT027,2725.6174
FDZ14,OUT018,1369.3368
DRG49,OUT049,6605.977
NCG06,OUT045,3912.3555
DRC36,OUT045,2990.5647
FDV21,OUT019,414.54306
FDB53,OUT046,3377.039
DRP47,OUT019,672.3436
FDA14,OUT013,1612.9849
DRC24,OUT035,2686.9243
FDW21,OUT018,1096.5593
NCH29,OUT046,2064.66
FDU58,OUT013,3239.3325
FDY27,OUT017,1311.9467
FDV56,OUT035,1432.7538
FDT59,OUT046,5094.5957
FDB23,OUT046,1916.5289
FDR49,OUT045,752.8249
FDB03,OUT010,323.69983
FDN39,OUT045,2902.1033
FDX02,OUT027,4237.275
FDQ16,OUT027,2375.9739
FDU35,OUT018,1623.2753
NCT29,OUT013,1739.7335
FDZ27,OUT046,553.4273
FDN57,OUT017,2332.441
FDA03,OUT018,2033.2471
FDZ36,OUT045,3382.2317
NCU05,OUT013,1036.9165
FDT39,OUT018,1621.618
FDK60,OUT017,1572.4507
FDZ25,OUT017,2743.4358
FDG12,OUT046,2349.98
DRB01,OUT019,650.9229
NCC43,OUT027,6212.1665
FDX13,OUT019,425.79703
FDM22,OUT049,926.8478
FDJ03,OUT027,1641.2701
FDU14,OUT018,3830.787
FDB33,OUT010,402.66003
FDP27,OUT046,2776.0044
FDO38,OUT010,49.412212
FDE28,OUT027,5477.191
FDO27,OUT035,1556.7942
DRL23,OUT027,2434.7468
FDS28,OUT046,896.7428
FDX24,OUT013,959.2251
FDZ02,OUT035,1415.9252
FDL46,OUT045,1638.8202
FDS60,OUT027,3820.882
NCO06,OUT017,565.5682
FDO16,OUT035,1831.5927
FDC60,OUT049,1588.8649
FDA48,OUT018,4820.547
FDZ36,OUT027,6031.113
FDK27,OUT045,1754.0751
FDW23,OUT018,356.012
FDM14,OUT018,1100.287
FDM14,OUT013,1457.9395
FDW60,OUT018,1063.1411
FDE21,OUT013,1770.4523
NCM42,OUT035,1214.6378
FDY59,OUT010,120.661736
DRI49,OUT049,1466.9869
FDT28,OUT019,236.83328
FDQ22,OUT018,590.733
FDR60,OUT049,1148.7927
FDC50,OUT019,191.96889
FDV24,OUT013,2460.3635
DRF48,OUT010,638.07184
FDQ47,OUT046,518.44604
DRN36,OUT049,1317.1035
NCY06,OUT035,2159.9136
FDE52,OUT035,1349.7225
NCB54,OUT045,1369.9604
NCF31,OUT035,1826.2722
FDJ08,OUT027,3249.7358
NCC07,OUT017,1879.5642
NCD19,OUT027,1201.7101
FDL46,OUT049,1709.1924
FDM20,OUT045,6048.0312
NCI06,OUT010,711.7228
DRM11,OUT035,4322.3364
NCH07,OUT018,2312.612
FDS23,OUT013,2250.452
FDO49,OUT018,735.5754
FDS35,OUT049,1109.3452
DRK39,OUT045,2052.848
DRI39,OUT049,648.6724
FDV04,OUT017,1503.9836
NCN14,OUT035,2342.1853
FDH08,OUT013,3363.7427
FDS20,OUT046,3265.9827
FDV40,OUT049,1058.2216
FDZ48,OUT010,191.88054
FDS24,OUT027,2150.4692
FDK44,OUT049,2139.2725
FDS48,OUT045,3069.0876
FDK26,OUT010,1009.4039
FDD23,OUT045,2876.5684
NCH54,OUT017,2882.7288
NCP14,OUT010,242.88963
FDM60,OUT010,177.03838
FDV24,OUT017,2067.585
FDH08,OUT018,3249.5159
FDS12,OUT027,3487.9978
FDR39,OUT027,4573.654
FDP12,OUT027,1069.946
DRF60,OUT027,5274.383
FDC09,OUT035,1755.4161
FDF50,OUT018,2593.2368
FDG28,OUT035,3127.6199
NCE19,OUT017,824.8992
NCM53,OUT010,281.3723
NCN18,OUT049,1615.9275
FDF32,OUT035,3571.0437
FDF11,OUT013,2457.9783
DRI59,OUT049,4069.8323
NCG54,OUT035,2644.906
FDM44,OUT046,1105.3167
FDT57,OUT018,1728.6003
FDV24,OUT046,2233.8164
FDI50,OUT019,468.4953
FDS09,OUT035,776.60596
NCC31,OUT027,3830.1504
FDQ07,OUT019,566.79895
FDC22,OUT017,3072.7786
FDZ56,OUT046,2767.0032
FDZ40,OUT019,155.13925
FDS46,OUT027,1698.2471
DRD24,OUT045,1988.5936
FDV45,OUT017,3234.794
FDL26,OUT045,3433.8225
FDA56,OUT018,1824.2137
FDN27,OUT046,1277.7544
FDM20,OUT049,5870.665
FDO16,OUT017,2120.7048
FDL03,OUT035,2818.5723
FDE58,OUT046,2247.0735
FDI02,OUT027,3339.4624
NCC55,OUT019,185.59607
FDR03,OUT018,3729.6836
FDB14,OUT017,1442.5682
FDR45,OUT013,4370.462
NCN07,OUT017,1966.7533
FDM51,OUT019,330.62476
FDT52,OUT027,6103.832
FDL26,OUT046,3123.4868
NCZ42,OUT046,3945.2683
DRI47,OUT019,566.84845
FDW40,OUT013,2162.1677
FDN34,OUT046,2978.7847
FDS01,OUT035,2924.3972
NCG55,OUT045,2020.5859
FDC11,OUT035,1482.6556
FDX35,OUT018,2818.0137
NCB06,OUT046,1768.048
FDR09,OUT019,415.60788
FDC53,OUT017,1562.995
FDY45,OUT013,3426.0635
FDA22,OUT010,549.40894
FDE02,OUT035,2249.0466
FDW21,OUT045,1593.206
FDV34,OUT046,1232.1862
FDS59,OUT049,2656.9
NCW17,OUT017,2757.7532
NCK54,OUT046,1890.9756
FDG17,OUT019,343.19684
FDG35,OUT017,5217.643
FDD08,OUT010,142.68639
NCO07,OUT017,3585.5576
FDJ10,OUT010,295.0119
FDW36,OUT017,1402.9006
FDW21,OUT010,109.93135
FDY19,OUT017,2366.7292
DRE03,OUT013,742.68024
NCC55,OUT049,746.22235
FDH52,OUT010,118.76922
FDO09,OUT017,4645.2847
FDU43,OUT045,3392.0261
FDX09,OUT010,435.62616
FDH40,OUT019,211.01448
FDW58,OUT017,1800.0151
FDC47,OUT017,5782.2627
NCR41,OUT035,1365.2913
DRG49,OUT035,5961.2515
FDC52,OUT027,3009.3909
FDY13,OUT046,1428.7867
FDY35,OUT013,826.7712
FDI35,OUT017,5233.511
NCU18,OUT049,2056.487
FDY33,OUT018,3283.6526
FDC15,OUT027,3821.1475
FDU01,OUT049,3279.4368
NCU42,OUT046,4069.67
NCV29,OUT018,2398.9314
NCY30,OUT017,3122.7932
FDQ46,OUT049,1983.5618
FDG58,OUT027,3895.1245
FDK33,OUT017,4300.7134
NCD07,OUT045,1269.2928
NCX29,OUT027,3980.2637
NCT42,OUT013,2177.708
DRN59,OUT035,724.293
FDI44,OUT035,1423.9991
FDA45,OUT049,1557.3844
FDP31,OUT045,711.67676
FDY01,OUT046,2051.3035
FDT09,OUT018,2423.436
DRH03,OUT027,2735.7922
FDA36,OUT018,1620.2201
NCF31,OUT017,2185.3425
FDG14,OUT049,2196.655
FDG28,OUT027,6538.012
FDU14,OUT049,4270.985
FDY47,OUT019,341.00244
FDI56,OUT049,1061.8657
DRD01,OUT013,802.56335
FDM22,OUT046,1192.2998
FDH33,OUT013,642.7549
DRZ24,OUT013,2019.4803
NCQ38,OUT046,1769.2195
FDO16,OUT027,1569.5642
FDU07,OUT027,4370.2783
NCB07,OUT013,2638.2622
FDU48,OUT045,1452.1105
NCM43,OUT045,2132.5415
FDR31,OUT010,187.60576
DRK49,OUT018,417.16238
NCI30,OUT010,274.16794
DRD60,OUT017,2457.9692
NCG19,OUT046,2773.4077
FDH12,OUT035,2060.4104
FDM32,OUT035,1789.3698
FDM27,OUT035,1963.0853
NCU53,OUT027,3106.575
NCQ18,OUT046,1554.5233
FDS10,OUT013,1895.8516
FDB33,OUT027,5203.3936
FDI12,OUT013,1814.7238
NCW42,OUT013,3805.5437
NCC06,OUT018,1668.3186
FDW02,OUT017,2273.4275
NCD43,OUT017,1423.3337
FDM57,OUT018,627.65094
FDA58,OUT017,3683.6877
FDK56,OUT046,3903.074
FDP52,OUT045,2897.6348
FDW20,OUT018,1671.8368
FDS52,OUT049,1504.7522
NCT29,OUT018,1697.1571
NCL54,OUT013,3752.1172
FDC05,OUT045,1889.4082
FDF34,OUT035,2559.4666
FDP03,OUT027,3580.8474
FDD32,OUT010,125.555275
FDZ10,OUT045,1598.0632
FDZ40,OUT035,966.127
FDD51,OUT018,669.18976
NCY30,OUT019,167.48369
FDP58,OUT017,3948.6003
FDV49,OUT017,4365.373
FDY24,OUT019,88.49621
NCO55,OUT017,1761.0804
FDR13,OUT017,1475.0573
FDS51,OUT017,739.90485
FDP26,OUT045,1144.1276
NCB54,OUT027,4765.5566
FDF32,OUT017,3012.0566
FDN31,OUT018,2744.3413
DRM48,OUT017,583.0599
FDN20,OUT049,3015.867
DRL01,OUT046,3207.6956
FDV56,OUT049,1191.2385
DRH13,OUT027,3084.9492
FDA03,OUT017,2295.2034
FDF47,OUT027,6304.883
FDX32,OUT046,2764.229
FDX57,OUT049,2186.946
NCA30,OUT045,2991.5056
FDO49,OUT013,700.1302
FDL04,OUT019,191.01709
DRM48,OUT035,966.2056
FDR16,OUT013,4693.007
NCC19,OUT018,2356.041
NCE42,OUT045,2997.4336
FDY24,OUT017,1122.3779
FDH19,OUT049,1748.3777
FDJ46,OUT013,2485.3865
FDN45,OUT010,361.60352
FDY08,OUT035,1727.2871
FDZ37,OUT035,1324.4476
NCT30,OUT045,747.7869
DRY23,OUT018,417.397
NCZ30,OUT018,1912.7776
FDC44,OUT018,1607.0322
FDB45,OUT035,1313.6062
FDY04,OUT013,1916.1243
FDM27,OUT046,2419.2366
FDZ43,OUT017,4239.58
FDT39,OUT019,475.10623
NCC06,OUT019,284.06427
FDL15,OUT027,4571.43
FDL57,OUT017,5380.2866
FDU08,OUT046,1241.8615
FDK40,OUT017,4323.2656
FDQ12,OUT010,1025.4087
FDS48,OUT017,2985.7808
FDP09,OUT045,3995.797
FDW21,OUT049,1146.9185
FDY25,OUT035,3591.7153
DRE13,OUT017,1632.8179
FDV43,OUT019,163.17494
FDD22,OUT045,1958.3734
FDM46,OUT019,218.6497
NCO30,OUT010,372.5748
FDM25,OUT046,2288.107
NCN41,OUT049,2092.5513
FDU24,OUT045,1787.3263
FDZ50,OUT046,2226.2769
FDP45,OUT013,2256.1528
NCM54,OUT045,1618.1035
FDW10,OUT019,206.37192
FDP20,OUT017,1935.1702
FDK32,OUT046,2829.1958
